RC-5 Data Logger,,
User Information,RC-5 Data Logger,
Number,E189G04160,
Interval    ,0:15:0 H:M:S,
Delay Time,0.0 H,
Data Sum,29967,
Temperature Maximum,51.8°C,
Temperature Minimum,1.4°C,
Temperature Average,23.1°C,
Temperature Alarm Upper Limit,60.0°C,
Temperature Alarm Lower Limit,-30.0°C,
Start Time,2019-05-09 12:33:55,
End Time,2020-03-16 16:03:55,
Date Format,yyyy-MM-dd HH:mm:ss,
Temperature Unit,°C,
Number,Time,Temperature°C
24136,2020-01-15 22:18:55,22.9
24137,2020-01-15 22:33:55,22.4
24138,2020-01-15 22:48:55,21.9
24139,2020-01-15 23:03:55,21.4
24140,2020-01-15 23:18:55,20.7
24141,2020-01-15 23:33:55,20.5
24142,2020-01-15 23:48:55,20.4
24143,2020-01-16 00:03:55,20.1
24144,2020-01-16 00:18:55,19.8
24145,2020-01-16 00:33:55,19.2
24146,2020-01-16 00:48:55,18.6
24147,2020-01-16 01:03:55,18.1
24148,2020-01-16 01:18:55,17.8
24149,2020-01-16 01:33:55,17.4
24150,2020-01-16 01:48:55,17.3
24151,2020-01-16 02:03:55,17
24152,2020-01-16 02:18:55,16.7
24153,2020-01-16 02:33:55,16.5
24154,2020-01-16 02:48:55,16.3
24155,2020-01-16 03:03:55,16.1
24156,2020-01-16 03:18:55,16
24157,2020-01-16 03:33:55,15.8
24158,2020-01-16 03:48:55,15.6
24159,2020-01-16 04:03:55,15.5
24160,2020-01-16 04:18:55,15.3
24161,2020-01-16 04:33:55,15.2
24162,2020-01-16 04:48:55,15.2
24163,2020-01-16 05:03:55,15
24164,2020-01-16 05:18:55,15
24165,2020-01-16 05:33:55,14.9
24166,2020-01-16 05:48:55,14.8
24167,2020-01-16 06:03:55,14.8
24168,2020-01-16 06:18:55,14.8
24169,2020-01-16 06:33:55,14.9
24170,2020-01-16 06:48:55,15.2
24171,2020-01-16 07:03:55,15.5
24172,2020-01-16 07:18:55,16
24173,2020-01-16 07:33:55,17.4
24174,2020-01-16 07:48:55,19.1
24175,2020-01-16 08:03:55,20.3
24176,2020-01-16 08:18:55,21
24177,2020-01-16 08:33:55,21.8
24178,2020-01-16 08:48:55,22.2
24179,2020-01-16 09:03:55,23.1
24180,2020-01-16 09:18:55,23.9
24181,2020-01-16 09:33:55,24.6
24182,2020-01-16 09:48:55,24.9
24183,2020-01-16 10:03:55,25.7
24184,2020-01-16 10:18:55,26.3
24185,2020-01-16 10:33:55,26.7
24186,2020-01-16 10:48:55,27.3
24187,2020-01-16 11:03:55,27.6
24188,2020-01-16 11:18:55,28.1
24189,2020-01-16 11:33:55,28.8
24190,2020-01-16 11:48:55,29.3
24191,2020-01-16 12:03:55,28.8
24192,2020-01-16 12:18:55,38.3
24193,2020-01-16 12:33:55,41
24194,2020-01-16 12:48:55,37.2
24195,2020-01-16 13:03:55,36.2
24196,2020-01-16 13:18:55,35.8
24197,2020-01-16 13:33:55,36.3
24198,2020-01-16 13:48:55,36.4
24199,2020-01-16 14:03:55,36.7
24200,2020-01-16 14:18:55,38.3
24201,2020-01-16 14:33:55,38.8
24202,2020-01-16 14:48:55,38.6
24203,2020-01-16 15:03:55,39.5
24204,2020-01-16 15:18:55,39.9
24205,2020-01-16 15:33:55,39.7
24206,2020-01-16 15:48:55,40
24207,2020-01-16 16:03:55,39.8
24208,2020-01-16 16:18:55,39.7
24209,2020-01-16 16:33:55,39.8
24210,2020-01-16 16:48:55,39.3
24211,2020-01-16 17:03:55,38.8
24212,2020-01-16 17:18:55,38.6
24213,2020-01-16 17:33:55,38.6
24214,2020-01-16 17:48:55,38.6
24215,2020-01-16 18:03:55,38.7
24216,2020-01-16 18:18:55,38
24217,2020-01-16 18:33:55,37.9
24218,2020-01-16 18:48:55,37.4
24219,2020-01-16 19:03:55,36.8
24220,2020-01-16 19:18:55,36.2
24221,2020-01-16 19:33:55,35.7
24222,2020-01-16 19:48:55,34.7
24223,2020-01-16 20:03:55,34.1
24224,2020-01-16 20:18:55,33.9
24225,2020-01-16 20:33:55,33.6
24226,2020-01-16 20:48:55,33.3
24227,2020-01-16 21:03:55,33.3
24228,2020-01-16 21:18:55,33
24229,2020-01-16 21:33:55,33
24230,2020-01-16 21:48:55,32.8
24231,2020-01-16 22:03:55,32.8
24232,2020-01-16 22:18:55,32.8
24233,2020-01-16 22:33:55,32.7
24234,2020-01-16 22:48:55,32.6
24235,2020-01-16 23:03:55,32.4
24236,2020-01-16 23:18:55,32.1
24237,2020-01-16 23:33:55,31.7
24238,2020-01-16 23:48:55,31.6
24239,2020-01-17 00:03:55,31.1
24240,2020-01-17 00:18:55,31
24241,2020-01-17 00:33:55,30.6
24242,2020-01-17 00:48:55,30.5
24243,2020-01-17 01:03:55,30.6
24244,2020-01-17 01:18:55,30.1
24245,2020-01-17 01:33:55,29.8
24246,2020-01-17 01:48:55,29.4
24247,2020-01-17 02:03:55,29.4
24248,2020-01-17 02:18:55,29.2
24249,2020-01-17 02:33:55,28.9
24250,2020-01-17 02:48:55,28.6
24251,2020-01-17 03:03:55,28.6
24252,2020-01-17 03:18:55,28.6
24253,2020-01-17 03:33:55,28.7
24254,2020-01-17 03:48:55,28.8
24255,2020-01-17 04:03:55,28.6
24256,2020-01-17 04:18:55,28.7
24257,2020-01-17 04:33:55,28.6
24258,2020-01-17 04:48:55,28.6
24259,2020-01-17 05:03:55,28.6
24260,2020-01-17 05:18:55,28.7
24261,2020-01-17 05:33:55,28.7
24262,2020-01-17 05:48:55,28.8
24263,2020-01-17 06:03:55,28.8
24264,2020-01-17 06:18:55,29
24265,2020-01-17 06:33:55,29.4
24266,2020-01-17 06:48:55,29.7
24267,2020-01-17 07:03:55,30.3
24268,2020-01-17 07:18:55,30.6
24269,2020-01-17 07:33:55,31.3
24270,2020-01-17 07:48:55,31.7
24271,2020-01-17 08:03:55,32
24272,2020-01-17 08:18:55,33.3
24273,2020-01-17 08:33:55,33.9
24274,2020-01-17 08:48:55,34
24275,2020-01-17 09:03:55,34.1
24276,2020-01-17 09:18:55,34.7
24277,2020-01-17 09:33:55,34.9
24278,2020-01-17 09:48:55,35.2
24279,2020-01-17 10:03:55,35.2
24280,2020-01-17 10:18:55,35.6
24281,2020-01-17 10:33:55,35.1
24282,2020-01-17 10:48:55,35.8
24283,2020-01-17 11:03:55,36
24284,2020-01-17 11:18:55,36
24285,2020-01-17 11:33:55,36.5
24286,2020-01-17 11:48:55,36.7
24287,2020-01-17 12:03:55,36.4
24288,2020-01-17 12:18:55,30.3
24289,2020-01-17 12:33:55,28.6
24290,2020-01-17 12:48:55,28.6
24291,2020-01-17 13:03:55,28.4
24292,2020-01-17 13:18:55,28.7
24293,2020-01-17 13:33:55,28.8
24294,2020-01-17 13:48:55,28.8
24295,2020-01-17 14:03:55,29.7
24296,2020-01-17 14:18:55,29.8
24297,2020-01-17 14:33:55,30.2
24298,2020-01-17 14:48:55,30.2
24299,2020-01-17 15:03:55,30.8
24300,2020-01-17 15:18:55,31.3
24301,2020-01-17 15:33:55,31.3
24302,2020-01-17 15:48:55,31.7
24303,2020-01-17 16:03:55,31.8
24304,2020-01-17 16:18:55,31.3
24305,2020-01-17 16:33:55,31.2
24306,2020-01-17 16:48:55,31.4
24307,2020-01-17 17:03:55,31.2
24308,2020-01-17 17:18:55,30.9
24309,2020-01-17 17:33:55,30.5
24310,2020-01-17 17:48:55,30.6
24311,2020-01-17 18:03:55,30
24312,2020-01-17 18:18:55,29.6
24313,2020-01-17 18:33:55,29.4
24314,2020-01-17 18:48:55,28.5
24315,2020-01-17 19:03:55,27.9
24316,2020-01-17 19:18:55,27.1
24317,2020-01-17 19:33:55,26.1
24318,2020-01-17 19:48:55,25.2
24319,2020-01-17 20:03:55,24.5
24320,2020-01-17 20:18:55,24
24321,2020-01-17 20:33:55,23.6
24322,2020-01-17 20:48:55,23.4
24323,2020-01-17 21:03:55,23.3
24324,2020-01-17 21:18:55,23.2
24325,2020-01-17 21:33:55,23.1
24326,2020-01-17 21:48:55,23
24327,2020-01-17 22:03:55,22.9
24328,2020-01-17 22:18:55,23
24329,2020-01-17 22:33:55,22.9
24330,2020-01-17 22:48:55,22.8
24331,2020-01-17 23:03:55,22.7
24332,2020-01-17 23:18:55,22.6
24333,2020-01-17 23:33:55,22.5
24334,2020-01-17 23:48:55,22.4
24335,2020-01-18 00:03:55,22.2
24336,2020-01-18 00:18:55,22.2
24337,2020-01-18 00:33:55,22
24338,2020-01-18 00:48:55,21.9
24339,2020-01-18 01:03:55,22
24340,2020-01-18 01:18:55,22
24341,2020-01-18 01:33:55,21.9
24342,2020-01-18 01:48:55,21.8
24343,2020-01-18 02:03:55,21.8
24344,2020-01-18 02:18:55,21.9
24345,2020-01-18 02:33:55,22.1
24346,2020-01-18 02:48:55,22.1
24347,2020-01-18 03:03:55,21.7
24348,2020-01-18 03:18:55,21.7
24349,2020-01-18 03:33:55,21.6
24350,2020-01-18 03:48:55,21.6
24351,2020-01-18 04:03:55,21.5
24352,2020-01-18 04:18:55,21.4
24353,2020-01-18 04:33:55,21.4
24354,2020-01-18 04:48:55,21.4
24355,2020-01-18 05:03:55,21.5
24356,2020-01-18 05:18:55,21.5
24357,2020-01-18 05:33:55,21.5
24358,2020-01-18 05:48:55,21.3
24359,2020-01-18 06:03:55,21.3
24360,2020-01-18 06:18:55,21.4
24361,2020-01-18 06:33:55,21.5
24362,2020-01-18 06:48:55,21.7
24363,2020-01-18 07:03:55,21.9
24364,2020-01-18 07:18:55,22.1
24365,2020-01-18 07:33:55,22.2
24366,2020-01-18 07:48:55,22.2
24367,2020-01-18 08:03:55,23.7
24368,2020-01-18 08:18:55,24.7
24369,2020-01-18 08:33:55,25.5
24370,2020-01-18 08:48:55,25.9
24371,2020-01-18 09:03:55,26.6
24372,2020-01-18 09:18:55,26.8
24373,2020-01-18 09:33:55,27
24374,2020-01-18 09:48:55,27.7
24375,2020-01-18 10:03:55,28.3
24376,2020-01-18 10:18:55,28.6
24377,2020-01-18 10:33:55,29.2
24378,2020-01-18 10:48:55,29.3
24379,2020-01-18 11:03:55,29.8
24380,2020-01-18 11:18:55,29.7
24381,2020-01-18 11:33:55,30.3
24382,2020-01-18 11:48:55,30.6
24383,2020-01-18 12:03:55,30.8
24384,2020-01-18 12:18:55,30.4
24385,2020-01-18 12:33:55,31
24386,2020-01-18 12:48:55,31.3
24387,2020-01-18 13:03:55,31.7
24388,2020-01-18 13:18:55,32.2
24389,2020-01-18 13:33:55,32.5
24390,2020-01-18 13:48:55,33.5
24391,2020-01-18 14:03:55,34.5
24392,2020-01-18 14:18:55,33.8
24393,2020-01-18 14:33:55,33.7
24394,2020-01-18 14:48:55,34.2
24395,2020-01-18 15:03:55,33.5
24396,2020-01-18 15:18:55,34
24397,2020-01-18 15:33:55,33.8
24398,2020-01-18 15:48:55,33.8
24399,2020-01-18 16:03:55,34.4
24400,2020-01-18 16:18:55,34.2
24401,2020-01-18 16:33:55,34.4
24402,2020-01-18 16:48:55,33.9
24403,2020-01-18 17:03:55,34.1
24404,2020-01-18 17:18:55,34.5
24405,2020-01-18 17:33:55,34.7
24406,2020-01-18 17:48:55,34.8
24407,2020-01-18 18:03:55,34.4
24408,2020-01-18 18:18:55,34.7
24409,2020-01-18 18:33:55,34
24410,2020-01-18 18:48:55,32.8
24411,2020-01-18 19:03:55,31.9
24412,2020-01-18 19:18:55,31.1
24413,2020-01-18 19:33:55,30.4
24414,2020-01-18 19:48:55,29.6
24415,2020-01-18 20:03:55,28.8
24416,2020-01-18 20:18:55,28.1
24417,2020-01-18 20:33:55,27.3
24418,2020-01-18 20:48:55,26.8
24419,2020-01-18 21:03:55,26.5
24420,2020-01-18 21:18:55,26.3
24421,2020-01-18 21:33:55,26.1
24422,2020-01-18 21:48:55,25.8
24423,2020-01-18 22:03:55,25.6
24424,2020-01-18 22:18:55,25.5
24425,2020-01-18 22:33:55,25.6
24426,2020-01-18 22:48:55,25.7
24427,2020-01-18 23:03:55,25.7
24428,2020-01-18 23:18:55,25.6
24429,2020-01-18 23:33:55,25.6
24430,2020-01-18 23:48:55,25.5
24431,2020-01-19 00:03:55,25.5
24432,2020-01-19 00:18:55,25.4
24433,2020-01-19 00:33:55,25.3
24434,2020-01-19 00:48:55,25.2
24435,2020-01-19 01:03:55,25.2
24436,2020-01-19 01:18:55,25.2
24437,2020-01-19 01:33:55,25.3
24438,2020-01-19 01:48:55,25.3
24439,2020-01-19 02:03:55,25.2
24440,2020-01-19 02:18:55,25.1
24441,2020-01-19 02:33:55,24.9
24442,2020-01-19 02:48:55,24.5
24443,2020-01-19 03:03:55,24.2
24444,2020-01-19 03:18:55,23.9
24445,2020-01-19 03:33:55,23.8
24446,2020-01-19 03:48:55,23.7
24447,2020-01-19 04:03:55,23.6
24448,2020-01-19 04:18:55,23.5
24449,2020-01-19 04:33:55,23.4
24450,2020-01-19 04:48:55,23.4
24451,2020-01-19 05:03:55,23.5
24452,2020-01-19 05:18:55,23.9
24453,2020-01-19 05:33:55,24.2
24454,2020-01-19 05:48:55,24.2
24455,2020-01-19 06:03:55,24.3
24456,2020-01-19 06:18:55,24.3
24457,2020-01-19 06:33:55,24.3
24458,2020-01-19 06:48:55,24.5
24459,2020-01-19 07:03:55,24.7
24460,2020-01-19 07:18:55,25.3
24461,2020-01-19 07:33:55,26.2
24462,2020-01-19 07:48:55,26.4
24463,2020-01-19 08:03:55,27.8
24464,2020-01-19 08:18:55,28.9
24465,2020-01-19 08:33:55,29.5
24466,2020-01-19 08:48:55,29.8
24467,2020-01-19 09:03:55,29.6
24468,2020-01-19 09:18:55,31.1
24469,2020-01-19 09:33:55,32.2
24470,2020-01-19 09:48:55,32.9
24471,2020-01-19 10:03:55,32.7
24472,2020-01-19 10:18:55,33.1
24473,2020-01-19 10:33:55,33.3
24474,2020-01-19 10:48:55,34.2
24475,2020-01-19 11:03:55,33.7
24476,2020-01-19 11:18:55,33.7
24477,2020-01-19 11:33:55,33.7
24478,2020-01-19 11:48:55,33.8
24479,2020-01-19 12:03:55,33.6
24480,2020-01-19 12:18:55,33.5
24481,2020-01-19 12:33:55,33.3
24482,2020-01-19 12:48:55,33.8
24483,2020-01-19 13:03:55,34.2
24484,2020-01-19 13:18:55,42.5
24485,2020-01-19 13:33:55,45.1
24486,2020-01-19 13:48:55,45.5
24487,2020-01-19 14:03:55,44.8
24488,2020-01-19 14:18:55,45.1
24489,2020-01-19 14:33:55,45.2
24490,2020-01-19 14:48:55,45.6
24491,2020-01-19 15:03:55,45.6
24492,2020-01-19 15:18:55,45.8
24493,2020-01-19 15:33:55,46.1
24494,2020-01-19 15:48:55,46
24495,2020-01-19 16:03:55,46.6
24496,2020-01-19 16:18:55,47.4
24497,2020-01-19 16:33:55,47.8
24498,2020-01-19 16:48:55,48.3
24499,2020-01-19 17:03:55,46.9
24500,2020-01-19 17:18:55,47.3
24501,2020-01-19 17:33:55,47
24502,2020-01-19 17:48:55,46.1
24503,2020-01-19 18:03:55,46.2
24504,2020-01-19 18:18:55,46.6
24505,2020-01-19 18:33:55,47.2
24506,2020-01-19 18:48:55,49.2
24507,2020-01-19 19:03:55,49
24508,2020-01-19 19:18:55,48.8
24509,2020-01-19 19:33:55,48
24510,2020-01-19 19:48:55,47.3
24511,2020-01-19 20:03:55,46.7
24512,2020-01-19 20:18:55,46.3
24513,2020-01-19 20:33:55,46.3
24514,2020-01-19 20:48:55,46.1
24515,2020-01-19 21:03:55,46
24516,2020-01-19 21:18:55,45.7
24517,2020-01-19 21:33:55,45.7
24518,2020-01-19 21:48:55,45.5
24519,2020-01-19 22:03:55,45.5
24520,2020-01-19 22:18:55,45.6
24521,2020-01-19 22:33:55,45.3
24522,2020-01-19 22:48:55,45.5
24523,2020-01-19 23:03:55,45.5
24524,2020-01-19 23:18:55,45.3
24525,2020-01-19 23:33:55,45.5
24526,2020-01-19 23:48:55,44.8
24527,2020-01-20 00:03:55,44.9
24528,2020-01-20 00:18:55,44.9
24529,2020-01-20 00:33:55,44.9
24530,2020-01-20 00:48:55,44.7
24531,2020-01-20 01:03:55,44.6
24532,2020-01-20 01:18:55,44.9
24533,2020-01-20 01:33:55,45
24534,2020-01-20 01:48:55,44.8
24535,2020-01-20 02:03:55,44.6
24536,2020-01-20 02:18:55,44.3
24537,2020-01-20 02:33:55,44.7
24538,2020-01-20 02:48:55,44.4
24539,2020-01-20 03:03:55,44.5
24540,2020-01-20 03:18:55,44.4
24541,2020-01-20 03:33:55,44.2
24542,2020-01-20 03:48:55,44.4
24543,2020-01-20 04:03:55,44.5
24544,2020-01-20 04:18:55,44.5
24545,2020-01-20 04:33:55,44.2
24546,2020-01-20 04:48:55,44.3
24547,2020-01-20 05:03:55,44
24548,2020-01-20 05:18:55,44.1
24549,2020-01-20 05:33:55,44.2
24550,2020-01-20 05:48:55,44.1
24551,2020-01-20 06:03:55,44.1
24552,2020-01-20 06:18:55,44.3
24553,2020-01-20 06:33:55,44.7
24554,2020-01-20 06:48:55,44.9
24555,2020-01-20 07:03:55,45
24556,2020-01-20 07:18:55,45.2
24557,2020-01-20 07:33:55,45.8
24558,2020-01-20 07:48:55,46.4
24559,2020-01-20 08:03:55,44.4
24560,2020-01-20 08:18:55,43.3
24561,2020-01-20 08:33:55,43.8
24562,2020-01-20 08:48:55,45
24563,2020-01-20 09:03:55,45.5
24564,2020-01-20 09:18:55,46.6
24565,2020-01-20 09:33:55,47.8
24566,2020-01-20 09:48:55,48
24567,2020-01-20 10:03:55,48
24568,2020-01-20 10:18:55,48.8
24569,2020-01-20 10:33:55,48.5
24570,2020-01-20 10:48:55,48.8
24571,2020-01-20 11:03:55,47.5
24572,2020-01-20 11:18:55,47.5
24573,2020-01-20 11:33:55,47.4
24574,2020-01-20 11:48:55,47.9
24575,2020-01-20 12:03:55,48.3
24576,2020-01-20 12:18:55,48.9
24577,2020-01-20 12:33:55,49
24578,2020-01-20 12:48:55,48.4
24579,2020-01-20 13:03:55,48.2
24580,2020-01-20 13:18:55,40
24581,2020-01-20 13:33:55,38.8
24582,2020-01-20 13:48:55,38.2
24583,2020-01-20 14:03:55,38.4
24584,2020-01-20 14:18:55,38.3
24585,2020-01-20 14:33:55,38.3
24586,2020-01-20 14:48:55,38.6
24587,2020-01-20 15:03:55,39.2
24588,2020-01-20 15:18:55,39.8
24589,2020-01-20 15:33:55,39.2
24590,2020-01-20 15:48:55,37.5
24591,2020-01-20 16:03:55,37.5
24592,2020-01-20 16:18:55,38.9
24593,2020-01-20 16:33:55,38.9
24594,2020-01-20 16:48:55,39
24595,2020-01-20 17:03:55,37.6
24596,2020-01-20 17:18:55,36.6
24597,2020-01-20 17:33:55,35.9
24598,2020-01-20 17:48:55,33.8
24599,2020-01-20 18:03:55,33.4
24600,2020-01-20 18:18:55,33.5
24601,2020-01-20 18:33:55,32.8
24602,2020-01-20 18:48:55,31.7
24603,2020-01-20 19:03:55,31
24604,2020-01-20 19:18:55,30.7
24605,2020-01-20 19:33:55,30.3
24606,2020-01-20 19:48:55,29.9
24607,2020-01-20 20:03:55,29.6
24608,2020-01-20 20:18:55,29.3
24609,2020-01-20 20:33:55,29.1
24610,2020-01-20 20:48:55,28.8
24611,2020-01-20 21:03:55,28.6
24612,2020-01-20 21:18:55,28.5
24613,2020-01-20 21:33:55,28.5
24614,2020-01-20 21:48:55,28.2
24615,2020-01-20 22:03:55,28.1
24616,2020-01-20 22:18:55,28.2
24617,2020-01-20 22:33:55,28.1
24618,2020-01-20 22:48:55,28
24619,2020-01-20 23:03:55,27.8
24620,2020-01-20 23:18:55,27.7
24621,2020-01-20 23:33:55,27.8
24622,2020-01-20 23:48:55,27.9
24623,2020-01-21 00:03:55,28
24624,2020-01-21 00:18:55,28.1
24625,2020-01-21 00:33:55,28.2
24626,2020-01-21 00:48:55,28.2
24627,2020-01-21 01:03:55,28.1
24628,2020-01-21 01:18:55,28
24629,2020-01-21 01:33:55,27.9
24630,2020-01-21 01:48:55,27.9
24631,2020-01-21 02:03:55,27.9
24632,2020-01-21 02:18:55,27.6
24633,2020-01-21 02:33:55,27.2
24634,2020-01-21 02:48:55,27
24635,2020-01-21 03:03:55,26.6
24636,2020-01-21 03:18:55,26.4
24637,2020-01-21 03:33:55,26.4
24638,2020-01-21 03:48:55,26.3
24639,2020-01-21 04:03:55,26.3
24640,2020-01-21 04:18:55,26.2
24641,2020-01-21 04:33:55,26.2
24642,2020-01-21 04:48:55,26.2
24643,2020-01-21 05:03:55,26.1
24644,2020-01-21 05:18:55,26
24645,2020-01-21 05:33:55,26
24646,2020-01-21 05:48:55,26
24647,2020-01-21 06:03:55,26.1
24648,2020-01-21 06:18:55,26.2
24649,2020-01-21 06:33:55,25.8
24650,2020-01-21 06:48:55,25.7
24651,2020-01-21 07:03:55,25.8
24652,2020-01-21 07:18:55,25.5
24653,2020-01-21 07:33:55,25.2
24654,2020-01-21 07:48:55,24.9
24655,2020-01-21 08:03:55,24.4
24656,2020-01-21 08:18:55,23
24657,2020-01-21 08:33:55,22.4
24658,2020-01-21 08:48:55,22.2
24659,2020-01-21 09:03:55,22.6
24660,2020-01-21 09:18:55,23
24661,2020-01-21 09:33:55,23.5
24662,2020-01-21 09:48:55,24
24663,2020-01-21 10:03:55,24.8
24664,2020-01-21 10:18:55,26.2
24665,2020-01-21 10:33:55,27.7
24666,2020-01-21 10:48:55,28.4
24667,2020-01-21 11:03:55,28.5
24668,2020-01-21 11:18:55,28.5
24669,2020-01-21 11:33:55,27.9
24670,2020-01-21 11:48:55,27.4
24671,2020-01-21 12:03:55,27.3
24672,2020-01-21 12:18:55,41.6
24673,2020-01-21 12:33:55,39.7
24674,2020-01-21 12:48:55,39.9
24675,2020-01-21 13:03:55,38.7
24676,2020-01-21 13:18:55,38.6
24677,2020-01-21 13:33:55,38.9
24678,2020-01-21 13:48:55,38.9
24679,2020-01-21 14:03:55,38.8
24680,2020-01-21 14:18:55,38.7
24681,2020-01-21 14:33:55,39.2
24682,2020-01-21 14:48:55,39.7
24683,2020-01-21 15:03:55,40
24684,2020-01-21 15:18:55,40.3
24685,2020-01-21 15:33:55,41.2
24686,2020-01-21 15:48:55,41.2
24687,2020-01-21 16:03:55,40.7
24688,2020-01-21 16:18:55,40.3
24689,2020-01-21 16:33:55,40.3
24690,2020-01-21 16:48:55,39.8
24691,2020-01-21 17:03:55,39.6
24692,2020-01-21 17:18:55,39.6
24693,2020-01-21 17:33:55,39.2
24694,2020-01-21 17:48:55,39.2
24695,2020-01-21 18:03:55,38.8
24696,2020-01-21 18:18:55,38.7
24697,2020-01-21 18:33:55,38.7
24698,2020-01-21 18:48:55,38.5
24699,2020-01-21 19:03:55,38.1
24700,2020-01-21 19:18:55,38.5
24701,2020-01-21 19:33:55,38.1
24702,2020-01-21 19:48:55,36.8
24703,2020-01-21 20:03:55,36.3
24704,2020-01-21 20:18:55,36.4
24705,2020-01-21 20:33:55,36.4
24706,2020-01-21 20:48:55,35.4
24707,2020-01-21 21:03:55,35.2
24708,2020-01-21 21:18:55,34.9
24709,2020-01-21 21:33:55,35.1
24710,2020-01-21 21:48:55,35.1
24711,2020-01-21 22:03:55,35.3
24712,2020-01-21 22:18:55,35
24713,2020-01-21 22:33:55,35
24714,2020-01-21 22:48:55,34.7
24715,2020-01-21 23:03:55,34.6
24716,2020-01-21 23:18:55,34.6
24717,2020-01-21 23:33:55,35
24718,2020-01-21 23:48:55,35.3
24719,2020-01-22 00:03:55,35.8
24720,2020-01-22 00:18:55,36
24721,2020-01-22 00:33:55,35
24722,2020-01-22 00:48:55,34.5
24723,2020-01-22 01:03:55,34.2
24724,2020-01-22 01:18:55,34.7
24725,2020-01-22 01:33:55,34.9
24726,2020-01-22 01:48:55,34.9
24727,2020-01-22 02:03:55,35.1
24728,2020-01-22 02:18:55,35
24729,2020-01-22 02:33:55,35.3
24730,2020-01-22 02:48:55,35.3
24731,2020-01-22 03:03:55,35.2
24732,2020-01-22 03:18:55,35
24733,2020-01-22 03:33:55,35.1
24734,2020-01-22 03:48:55,35
24735,2020-01-22 04:03:55,35.6
24736,2020-01-22 04:18:55,35.9
24737,2020-01-22 04:33:55,35.6
24738,2020-01-22 04:48:55,35.4
24739,2020-01-22 05:03:55,35.4
24740,2020-01-22 05:18:55,35.4
24741,2020-01-22 05:33:55,35.5
24742,2020-01-22 05:48:55,35.1
24743,2020-01-22 06:03:55,35.2
24744,2020-01-22 06:18:55,35.5
24745,2020-01-22 06:33:55,35.1
24746,2020-01-22 06:48:55,35
24747,2020-01-22 07:03:55,35.3
24748,2020-01-22 07:18:55,35.8
24749,2020-01-22 07:33:55,36.6
24750,2020-01-22 07:48:55,37.8
24751,2020-01-22 08:03:55,37.6
24752,2020-01-22 08:18:55,38.5
24753,2020-01-22 08:33:55,38.7
24754,2020-01-22 08:48:55,38.8
24755,2020-01-22 09:03:55,38.3
24756,2020-01-22 09:18:55,38.7
24757,2020-01-22 09:33:55,39.8
24758,2020-01-22 09:48:55,39.7
24759,2020-01-22 10:03:55,40.1
24760,2020-01-22 10:18:55,41.8
24761,2020-01-22 10:33:55,40.8
24762,2020-01-22 10:48:55,40.1
24763,2020-01-22 11:03:55,39.1
24764,2020-01-22 11:18:55,40.2
24765,2020-01-22 11:33:55,41
24766,2020-01-22 11:48:55,41.3
24767,2020-01-22 12:03:55,41.7
24768,2020-01-22 12:18:55,38.8
24769,2020-01-22 12:33:55,39.5
24770,2020-01-22 12:48:55,39
24771,2020-01-22 13:03:55,39.3
24772,2020-01-22 13:18:55,39.5
24773,2020-01-22 13:33:55,40.4
24774,2020-01-22 13:48:55,40
24775,2020-01-22 14:03:55,41.2
24776,2020-01-22 14:18:55,42.2
24777,2020-01-22 14:33:55,42.7
24778,2020-01-22 14:48:55,42.4
24779,2020-01-22 15:03:55,42.4
24780,2020-01-22 15:18:55,42.1
24781,2020-01-22 15:33:55,43
24782,2020-01-22 15:48:55,43.2
24783,2020-01-22 16:03:55,43.2
24784,2020-01-22 16:18:55,42.9
24785,2020-01-22 16:33:55,43.2
24786,2020-01-22 16:48:55,42.1
24787,2020-01-22 17:03:55,42.2
24788,2020-01-22 17:18:55,41.5
24789,2020-01-22 17:33:55,41.9
24790,2020-01-22 17:48:55,41.3
24791,2020-01-22 18:03:55,40.5
24792,2020-01-22 18:18:55,40.2
24793,2020-01-22 18:33:55,39.6
24794,2020-01-22 18:48:55,39.1
24795,2020-01-22 19:03:55,44.4
24796,2020-01-22 19:18:55,44.7
24797,2020-01-22 19:33:55,44.7
24798,2020-01-22 19:48:55,43.4
24799,2020-01-22 20:03:55,43.2
24800,2020-01-22 20:18:55,42.6
24801,2020-01-22 20:33:55,42.1
24802,2020-01-22 20:48:55,41.6
24803,2020-01-22 21:03:55,41.5
24804,2020-01-22 21:18:55,41.5
24805,2020-01-22 21:33:55,41.5
24806,2020-01-22 21:48:55,41.7
24807,2020-01-22 22:03:55,41.7
24808,2020-01-22 22:18:55,41.7
24809,2020-01-22 22:33:55,41.4
24810,2020-01-22 22:48:55,41.6
24811,2020-01-22 23:03:55,41.7
24812,2020-01-22 23:18:55,41.7
24813,2020-01-22 23:33:55,41.5
24814,2020-01-22 23:48:55,41.3
24815,2020-01-23 00:03:55,41.4
24816,2020-01-23 00:18:55,41.3
24817,2020-01-23 00:33:55,41.4
24818,2020-01-23 00:48:55,41.5
24819,2020-01-23 01:03:55,41.2
24820,2020-01-23 01:18:55,41.4
24821,2020-01-23 01:33:55,41.1
24822,2020-01-23 01:48:55,41.1
24823,2020-01-23 02:03:55,41
24824,2020-01-23 02:18:55,40.3
24825,2020-01-23 02:33:55,39.9
24826,2020-01-23 02:48:55,39.7
24827,2020-01-23 03:03:55,39.6
24828,2020-01-23 03:18:55,39.4
